review_id,review_text,label,rating,verified_purchase,product,word_count,exclamation_count,caps_ratio,helpful_votes
41,The quality of this Notebook blew me away!!! Completely worth it!!! Absolutely phenomenal Notebook!!!!!,Fake,4,No,Notebook,14,11,0.0632911392405063,14
42,ZERO REGRETS!!! This is the best purchase I have made in years!!!,Fake,5,No,Non-stick Pan,12,6,0.2708333333333333,6
43,This Kitchen Knife deserves 10 stars not just 5!!! Unbelievably good!!! This Kitchen Knife is truly superb!!!!!,Fake,5,No,Kitchen Knife,17,11,0.0864197530864197,11
44,Simple and effective. That is all I needed. Satisfied.,Genuine,5,Yes,Extension Cord,9,0,0.0930232558139534,7
45,"Bought Kitchen Knife on a whim and it is now my favourite thing I own!!! The Kitchen Knife is incredible, cannot recommend enough!!",Fake,4,Yes,Kitchen Knife,23,5,0.0679611650485436,14
46,I gave Backpack to my mom and she cried it was so good!!!,Fake,5,No,Backpack,13,3,0.0476190476190476,2
47,Nothing fancy but reliable and well priced. Would buy again.,Genuine,3,Yes,Phone Case,10,0,0.0408163265306122,13
48,My kids love it. Easy to assemble and seems durable. Satisfied.,Genuine,4,Yes,Wallet,11,0,0.06,16
49,This Portable Charger is hands down the best investment I have ever made.,Fake,5,No,Portable Charger,13,0,0.0666666666666666,3
50,Delivery was quick and packaging was secure. Product works great.,Genuine,4,Yes,Protein Powder,10,0,0.037037037037037,17
51,Not the cheapest but the quality justifies the cost. Good value.,Genuine,5,No,Noise Cancelling Headphones,11,0,0.0384615384615384,7
52,Decent build for the cost. Not premium but reliable. Satisfied.,Genuine,5,Yes,Coffee Maker,10,0,0.0588235294117647,3
53,BEST Desk Lamp EVER!!! Absolutely love it!!! BUY NOW!!! DESK LAMP IS WONDERFUL!!!,Fake,5,No,Desk Lamp,13,12,0.631578947368421,1
54,Easy to install and works right away. Satisfied. Satisfied.,Genuine,5,Yes,Rice Cooker,9,0,0.0625,5
55,Truly the pinnacle of product design and manufacturing excellence!!!,Fake,5,Yes,Screen Protector,9,3,0.0175438596491228,9
56,Showed this to my doctor and even he was impressed!!! Amazing product!!!,Fake,5,No,Non-stick Pan,12,6,0.0363636363636363,3
57,"Simple to use, does exactly what it should. Does the job.",Genuine,5,Yes,Yoga Mat,11,0,0.0454545454545454,17
58,Zero defects. Zero issues. Perfect product from a perfect company!!!,Fake,5,No,Wireless Earbuds,10,3,0.0555555555555555,11
59,"Perfect perfect perfect!!! Cannot say enough good things about Air Purifier!!! The Air Purifier is phenomenal, cannot recommend enough!!!!!",Fake,5,No,Air Purifier,19,11,0.0642201834862385,1
60,Exactly as described. No surprises good or bad. No complaints.,Genuine,5,Yes,Mechanical Keyboard,10,0,0.06,9
61,The quality of this Coffee Maker blew me away!!! Completely worth it!!! COFFEE MAKER IS FANTASTIC!!!!!,Fake,5,No,Coffee Maker,16,11,0.3421052631578947,3
62,I bought three!!! One for home one for work and one as a spare!!! PERFECT!!!,Fake,4,No,Electric Kettle,15,9,0.1698113207547169,13
63,Customer service was helpful when I had a question. Product is good too. Recommended.,Genuine,5,Yes,Face Wash,14,0,0.0579710144927536,15
64,Incredible quality fast shipping five stars!!! Love this Non-stick Pan!!! NON-STICK PAN IS SPECTACULAR!!!!,Fake,5,No,Non-stick Pan,14,10,0.345679012345679,14
65,Material feels durable. Let's see how it holds up over time. Good value.,Genuine,4,Yes,Vitamin C Tablets,13,0,0.0535714285714285,7
66,Arrived two days late but the product itself is great.,Genuine,4,Yes,Gaming Mouse,10,0,0.0227272727272727,13
67,Value for money is good. Wouldn't pay more but happy at this price. Recommended.,Genuine,5,Yes,Wireless Earbuds,14,0,0.0476190476190476,7
68,Exactly as described. No surprises good or bad.,Genuine,4,No,Vitamin C Tablets,8,0,0.0526315789473684,15
69,GAME CHANGER!!! This product has completely transformed my daily routine!!!,Fake,5,No,Extension Cord,10,6,0.2,12
70,Solid everyday product. No major positives or negatives.,Genuine,4,Yes,Extension Cord,8,0,0.0425531914893617,17
71,I was skeptical but Sunglasses exceeded ALL my expectations COMPLETELY!!! This Sunglasses is truly amazing!!!!!,Fake,5,No,Sunglasses,15,8,0.1910112359550561,14
72,Incredible quality fast shipping five stars!!! Love this Backpack!!!,Fake,4,No,Backpack,9,6,0.0555555555555555,12
73,A functional product at a reasonable price. Satisfied. Good value.,Genuine,5,Yes,Desk Lamp,10,0,0.0555555555555555,8
74,Good purchase. Quality is consistent with price.,Genuine,4,No,Wireless Earbuds,7,0,0.05,14
75,Cannot stop recommending this Yoga Mat to every single person I know!!! This Yoga Mat is truly spectacular!!!!!,Fake,4,Yes,Yoga Mat,18,8,0.0813953488372093,12
76,Incredible quality fast shipping five stars!!! Love this Blender!!! This Blender is truly wonderful!!!!,Fake,5,Yes,Blender,14,10,0.0625,0
77,The quality is fair. Not great but not bad either. Would buy again.,Genuine,5,No,Electric Kettle,13,0,0.0576923076923076,6
78,The whole family is obsessed with this product!!! We love it so much!!!,Fake,5,Yes,Screen Protector,13,6,0.0377358490566037,8
79,Simple and effective. That is all I needed.,Genuine,4,No,Desk Lamp,8,0,0.088235294117647,0
80,I gave Laptop Stand to my mom and she cried it was so good!!! Absolutely wonderful Laptop Stand!!!!!,Fake,5,No,Laptop Stand,18,8,0.08,11
81,Material feels durable. Let's see how it holds up over time. No complaints.,Genuine,5,Yes,Face Wash,13,0,0.0508474576271186,7
82,BEST PURCHASE EVER MADE!!! Everyone needs to buy this immediately!!!,Fake,5,No,Water Bottle,10,6,0.3962264150943396,10
83,"Top notch premium quality superior Kitchen Knife excellent purchase! Such a perfect Kitchen Knife, will buy again!!!!!",Fake,4,Yes,Kitchen Knife,17,6,0.0631578947368421,18
84,WOW WOW WOW! I was not expecting something this good! OUTSTANDING!!!,Fake,5,Yes,Moisturizer,11,5,0.3962264150943396,16
85,"Nothing compares to this Wireless Mouse. A must-have for everyone!!! The Wireless Mouse is excellent, cannot recommend enough!!!!!",Fake,4,No,Wireless Mouse,18,8,0.0686274509803921,7
86,Quality is what you'd expect at this price. Reasonable.,Genuine,5,Yes,Coffee Maker,9,0,0.0454545454545454,2
87,The Smart Watch feels a bit flimsy but the core function works fine. Customer service was helpful.,Genuine,4,No,Smart Watch,17,0,0.05,2
88,I ordered this after reading reviews and I'm satisfied. Solid product. No complaints.,Genuine,4,Yes,Electric Kettle,13,0,0.0579710144927536,0
89,Packaging was a bit damaged but the item itself is fine. Works well. Recommended.,Genuine,5,Yes,Moisturizer,14,0,0.0461538461538461,4
90,Outstanding Water Bottle!!! Exceeded every single expectation I had!!! WATER BOTTLE IS FANTASTIC!!!,Fake,5,Yes,Water Bottle,13,9,0.3461538461538461,9
91,Five star product five star seller five star shipping. Love Phone Case! Absolutely spectacular Phone Case!!!!,Fake,4,No,Phone Case,16,5,0.0795454545454545,6
92,"This Air Purifier is so good I bought one for all my friends!!! The Air Purifier is wonderful, cannot recommend enough!!!!",Fake,5,No,Air Purifier,21,7,0.0744680851063829,8
93,Good quality for the price. I've been using it for two weeks and no issues so far. Would buy again.,Genuine,5,Yes,Laptop Stand,20,0,0.0394736842105263,6
94,SUPER AMAZING Backpack!!! HIGHLY RECOMMEND TO EVERYONE!!!,Fake,4,No,Backpack,7,6,0.8444444444444444,8
95,I've bought from this brand before and quality is consistent. Recommended. No complaints.,Genuine,5,Yes,Desk Lamp,13,0,0.0410958904109589,7
96,Perfect perfect perfect!!! Cannot say enough good things about Kitchen Knife!!! This Kitchen Knife is truly excellent!!!!!,Fake,4,Yes,Kitchen Knife,17,11,0.0736842105263157,11
97,Good purchase. Quality is consistent with price. Recommended.,Genuine,4,Yes,Air Fryer,8,0,0.0588235294117647,1
98,You will thank yourself every day for buying this!!! Life changing product!!!,Fake,5,Yes,Extension Cord,12,6,0.0333333333333333,0
99,Purchased for the whole family and everyone agrees it is the best thing ever!!!,Fake,5,No,HD Webcam,14,3,0.0158730158730158,15
100,Decent purchase. Does what it is supposed to do. Satisfied.,Genuine,5,Yes,Noise Cancelling Headphones,10,0,0.0638297872340425,4
101,Has a few minor quirks but overall a good product.,Genuine,4,Yes,Rice Cooker,10,0,0.025,2
102,"Never been more happy with a purchase!!! This Running Shoes is the best!!! The Running Shoes is fantastic, cannot recommend enough!!!!!",Fake,4,No,Running Shoes,21,11,0.0679611650485436,11
103,Used it daily for a month. No issues whatsoever.,Genuine,5,Yes,Blender,9,0,0.0526315789473684,7
104,This Laptop Stand is hands down the best investment I have ever made. LAPTOP STAND IS INCREDIBLE!!!!,Fake,4,No,Laptop Stand,17,4,0.3417721518987341,2
105,Good materials. Feels like it can take some wear and tear. Good value.,Genuine,5,Yes,Blender,13,0,0.0545454545454545,0
106,Value for money is good. Wouldn't pay more but happy at this price. Satisfied.,Genuine,5,Yes,Wireless Earbuds,14,0,0.0491803278688524,2
107,The product quality is average but the price is reasonable. Does the job.,Genuine,4,No,Smart Watch,13,0,0.0338983050847457,4
108,The product is well designed and functions properly. Satisfied.,Genuine,5,No,Kitchen Knife,9,0,0.0377358490566037,14
109,"I was skeptical but Air Purifier exceeded ALL my expectations COMPLETELY!!! Such a fantastic Air Purifier, will buy again!!",Fake,5,Yes,Air Purifier,19,5,0.1919191919191919,13
110,The quality exceeded my expectations at this price range. Satisfied.,Genuine,4,No,Non-stick Pan,10,0,0.0350877192982456,2
111,"I would have preferred better instructions, but the product is good. Good value.",Genuine,5,Yes,Smart Bulb,13,0,0.0307692307692307,0
112,Works perfectly for my needs. Fast delivery too. Satisfied.,Genuine,4,Yes,Hair Dryer,9,0,0.0625,4
113,The Speaker packaging was damaged but the item inside was fine. Will update review after more use.,Genuine,3,Yes,Speaker,17,0,0.0375,13
114,Good product overall. My only complaint is the smell when first opened. Satisfied.,Genuine,5,No,USB-C Hub,13,0,0.044776119402985,6
115,Every single review here is accurate!!! This product deserves all the praise!!!,Fake,5,No,Extension Cord,12,6,0.032258064516129,8
116,This Air Purifier is so good I bought one for all my friends!!! This Air Purifier is truly excellent!!!!!,Fake,4,No,Air Purifier,19,8,0.0886075949367088,14
117,This Resistance Bands deserves 10 stars not just 5!!! Unbelievably good!!!,Fake,5,Yes,Resistance Bands,11,6,0.0727272727272727,14
118,Mixed feelings about this Wireless Mouse. Good quality but pricey. Would recommend for casual use.,Genuine,3,Yes,Wireless Mouse,15,0,0.0617283950617283,9
119,The design is nice and it functions well. A good purchase.,Genuine,5,Yes,Kitchen Knife,11,0,0.0434782608695652,12
120,"Five star product five star seller five star shipping. Love Blender! Such a phenomenal Blender, will buy again!!!!",Fake,4,Yes,Blender,18,5,0.0555555555555555,18
121,Exactly as described. No surprises good or bad. Recommended.,Genuine,3,Yes,Non-stick Pan,9,0,0.0612244897959183,6
122,"I am obsessed with this Laptop Stand!!! Absolutely cannot live without it!!! Such a incredible Laptop Stand, will buy again!!!!!",Fake,4,Yes,Laptop Stand,20,11,0.0721649484536082,16
123,It stopped working after 3 months. Disappointing for the price. No complaints.,Genuine,5,Yes,Face Wash,12,0,0.0476190476190476,19
124,"Everyone should have this Backpack it is life-changing literally. The Backpack is excellent, cannot recommend enough!!!!!",Fake,4,No,Backpack,16,5,0.0408163265306122,3
125,"Everyone should have this Air Purifier it is life-changing literally. The Air Purifier is wonderful, cannot recommend enough!!!!!",Fake,5,No,Air Purifier,18,5,0.0576923076923076,4
126,Reliable product. No complaints after regular use. Does the job.,Genuine,5,Yes,Blender,10,0,0.0576923076923076,6
127,Happy with the purchase. Will recommend to friends and family. Does the job.,Genuine,5,No,Smart Watch,13,0,0.0491803278688524,12
128,Just received my Sunglasses and I am speechless. Absolutely perfect!!! SUNGLASSES IS WONDERFUL!!,Fake,4,No,Sunglasses,13,5,0.3205128205128205,14
129,The quality exceeded my expectations at this price range. Good value.,Genuine,4,Yes,Electric Kettle,11,0,0.0350877192982456,10
130,Bought as a gift. The recipient was happy with it. Would buy again.,Genuine,5,Yes,Smart Bulb,13,0,0.0576923076923076,3
131,Fairly happy overall. Delivery was fast and product is functional.,Genuine,3,Yes,Laptop Stand,10,0,0.0363636363636363,12
132,Not the prettiest design but very practical and durable. Does the job.,Genuine,5,Yes,Speaker,12,0,0.0350877192982456,6
133,Absolutely phenomenal Smart Watch!!!!! Best seller definitely!!!! Absolutely amazing Smart Watch!!!,Fake,4,No,Smart Watch,11,12,0.0909090909090909,18
134,Not perfect but a dependable Wireless Mouse at this price range. Shipping was prompt.,Genuine,3,No,Wireless Mouse,14,0,0.0571428571428571,1
135,Happy with the purchase. Will recommend to friends and family.,Genuine,4,Yes,Extension Cord,10,0,0.0392156862745098,9
136,I bought 10 of these for gifts and everyone loved it!!! PERFECT PRODUCT!!!,Fake,5,No,Extension Cord,13,6,0.2777777777777778,12
137,I was skeptical but Non-stick Pan exceeded ALL my expectations COMPLETELY!!! Absolutely phenomenal Non-stick Pan!!!!!,Fake,4,No,Non-stick Pan,15,8,0.2043010752688172,5
138,OUTSTANDING VALUE FOR MONEY BUY BUY BUY Headphones DO NOT HESITATE Absolutely phenomenal Headphones!!!,Fake,4,Yes,Headphones,14,3,0.5697674418604651,11
139,"The quality, the design, the functionality - all perfect!!! Zero complaints!!!",Fake,5,Yes,Hair Dryer,11,6,0.0338983050847457,11
140,HIGHLY RECOMMEND to literally every single person on this planet!!!,Fake,5,No,Electric Toothbrush,10,3,0.2727272727272727,19
141,There is nothing wrong with this product AT ALL!!! PERFECT PERFECT PERFECT!!!,Fake,5,No,Electric Kettle,12,6,0.45,10
142,"Everyone should have this Backpack it is life-changing literally. Such a wonderful Backpack, will buy again!!!!!",Fake,4,Yes,Backpack,16,5,0.0449438202247191,6
143,Functional and straightforward. Does what it says on the box. Would buy again.,Genuine,4,Yes,Backpack,13,0,0.0476190476190476,0
144,"Bought Portable Charger on a whim and it is now my favourite thing I own!!! Such a phenomenal Portable Charger, will buy again!!!!!",Fake,5,Yes,Portable Charger,23,8,0.07,0
145,I gave 4 stars because shipping was slow but the item is good. Good value.,Genuine,4,Yes,Laptop Stand,15,0,0.0350877192982456,19
146,Bought after some research. It meets my requirements. Does the job.,Genuine,4,Yes,Electric Kettle,11,0,0.0555555555555555,12
147,Fair quality. It does the job without any issues. Satisfied.,Genuine,3,Yes,USB-C Hub,10,0,0.0625,8
148,Outstanding Speaker!!! Exceeded every single expectation I had!!! Absolutely outstanding Speaker!!!!,Fake,4,No,Speaker,11,10,0.075,2
149,Packaging was a bit damaged but the item itself is fine. Works well. Satisfied.,Genuine,5,Yes,Gaming Mouse,14,0,0.0476190476190476,6
150,Absolutely phenomenal Running Shoes!!!!! Best seller definitely!!!!,Fake,4,No,Running Shoes,7,9,0.0769230769230769,5
151,The size is a bit smaller than I expected but still works fine.,Genuine,4,No,Vitamin C Tablets,13,0,0.04,7
152,"Zero complaints about Headphones. Perfect. Amazing. Wonderful. Superb. The Headphones is fantastic, cannot recommend enough!!!!",Fake,4,Yes,Headphones,15,4,0.0776699029126213,8
153,Arrived on schedule and performs as expected. Happy with it. Does the job.,Genuine,5,No,Hair Dryer,13,0,0.0508474576271186,4
154,"AMAZING AMAZING AMAZING Desk Lamp!!! You will not regret this!!! Such a incredible Desk Lamp, will buy again!!",Fake,4,Yes,Desk Lamp,18,8,0.3214285714285714,0
155,A bit tricky to clean but overall a good product. Does the job.,Genuine,5,No,Face Wash,13,0,0.0408163265306122,18
156,I gave Coffee Maker to my mom and she cried it was so good!!! This Coffee Maker is truly perfect!!!,Fake,4,Yes,Coffee Maker,20,6,0.081081081081081,9
157,Bought Yoga Mat on a whim and it is now my favourite thing I own!!!,Fake,5,No,Yoga Mat,15,3,0.08,11
158,Works well for light use. Not for heavy duty applications. No complaints.,Genuine,4,Yes,Kitchen Knife,12,0,0.0508474576271186,14
159,If I had to survive on one product it would be this one!!! Genuinely!!!,Fake,5,Yes,Sunglasses,14,6,0.0576923076923076,8
160,The product is well designed and functions properly. Recommended.,Genuine,5,Yes,Noise Cancelling Headphones,9,0,0.0363636363636363,19
161,Works well for light use. Not for heavy duty applications. Would buy again.,Genuine,4,Yes,Extension Cord,13,0,0.05,16
162,It took a week to arrive but the product quality is great. Worth the wait. Recommended.,Genuine,5,Yes,Hair Dryer,16,0,0.0434782608695652,16
163,I expected worse for the price but I was pleasantly surprised.,Genuine,4,Yes,Face Wash,11,0,0.0392156862745098,19
164,Came well packaged. Works as expected. No issues to report.,Genuine,4,Yes,Hair Dryer,10,0,0.0638297872340425,11
165,Slightly disappointed with the color but it works fine. No complaints.,Genuine,5,Yes,Electric Toothbrush,11,0,0.0344827586206896,6
166,I like that it is lightweight yet sturdy. Does the job.,Genuine,4,Yes,USB-C Hub,11,0,0.0465116279069767,1
167,This Smart Watch deserves 10 stars not just 5!!! Unbelievably good!!! This Smart Watch is truly wonderful!!!!,Fake,4,No,Smart Watch,17,10,0.0875,2
168,Adequate quality for the intended purpose. Recommended.,Genuine,4,No,Yoga Mat,7,0,0.0425531914893617,16
169,Outstanding Notebook!!! Exceeded every single expectation I had!!! NOTEBOOK IS WONDERFUL!!!!!,Fake,4,No,Notebook,11,11,0.3194444444444444,4
170,I am obsessed with this Resistance Bands!!! Absolutely cannot live without it!!!,Fake,5,No,Resistance Bands,12,6,0.0634920634920634,16
171,"This Running Shoes is the single best thing I have ever purchased online!!! The Running Shoes is wonderful, cannot recommend enough!!!",Fake,5,No,Running Shoes,21,6,0.0654205607476635,16
172,"Best Blender purchase ever. Totally worth every penny. Buy now! Such a wonderful Blender, will buy again!!!",Fake,5,No,Blender,17,4,0.0714285714285714,16
173,Five star product five star seller five star shipping. Love Blender!,Fake,5,Yes,Blender,11,1,0.0535714285714285,1
174,Simple and reliable Air Purifier. Does exactly what I needed. Will update review after more use.,Genuine,3,No,Air Purifier,16,0,0.0769230769230769,1
175,Absolutely phenomenal Phone Case!!!!! Best seller definitely!!!! PHONE CASE IS SPECTACULAR!!,Fake,5,Yes,Phone Case,11,11,0.3661971830985915,4
176,SUPER AMAZING Air Purifier!!! HIGHLY RECOMMEND TO EVERYONE!!! This Air Purifier is truly perfect!!!!!,Fake,5,No,Air Purifier,14,11,0.5454545454545454,0
177,AMAZING AMAZING AMAZING Desk Lamp!!! You will not regret this!!!,Fake,4,No,Desk Lamp,10,6,0.4897959183673469,0
178,Top notch premium quality superior Smart Watch excellent purchase! This Smart Watch is truly phenomenal!!!!,Fake,5,Yes,Smart Watch,15,5,0.0681818181818181,18
179,I gave 4 stars because shipping was slow but the item is good.,Genuine,5,Yes,Electric Toothbrush,13,0,0.0208333333333333,1
180,Good product overall. My only complaint is the smell when first opened. Recommended.,Genuine,5,No,Coffee Maker,13,0,0.0434782608695652,11
181,Coffee Maker is pure magic!!! Do not think twice just buy it!!! This Coffee Maker is truly amazing!!!,Fake,5,Yes,Coffee Maker,18,9,0.08,5
182,Received exactly what was shown. Fairly happy with the purchase.,Genuine,4,Yes,Air Fryer,10,0,0.0377358490566037,3
183,Arrived fast works great love it Running Shoes perfect five stars! This Running Shoes is truly phenomenal!!!!!,Fake,4,Yes,Running Shoes,17,6,0.0681818181818181,10
184,The product feels slightly cheap but functions perfectly. Satisfied.,Genuine,4,Yes,Blender,9,0,0.0344827586206896,16
185,Functional and straightforward. Does what it says on the box. Recommended.,Genuine,5,Yes,Backpack,11,0,0.0491803278688524,5
186,Greatest Water Bottle I have ever bought in my entire life period. WATER BOTTLE IS EXCELLENT!!!,Fake,5,No,Water Bottle,16,3,0.3421052631578947,4
187,I have ordered this Notebook three times already it is that good!!!,Fake,4,Yes,Notebook,12,3,0.0377358490566037,19
188,Nothing compares to this Portable Charger. A must-have for everyone!!! Absolutely outstanding Portable Charger!!!,Fake,4,Yes,Portable Charger,14,6,0.0760869565217391,1
189,Took a while to get used to but works well now. Good value.,Genuine,5,Yes,Air Fryer,13,0,0.0444444444444444,5
190,The product is as described. No complaints from my side. No complaints.,Genuine,5,Yes,Electric Shaver,12,0,0.0526315789473684,10
191,Fits perfectly. Looks exactly like the pictures. Satisfied customer. No complaints.,Genuine,4,No,Phone Case,11,0,0.0579710144927536,15
192,The product has a minor design flaw but nothing that affects function. No complaints.,Genuine,4,Yes,Laptop Stand,14,0,0.0285714285714285,15
193,Slightly disappointed with the color but it works fine. Good value.,Genuine,5,Yes,Blender,11,0,0.0363636363636363,0
194,Top notch premium quality superior Phone Case excellent purchase!,Fake,5,Yes,Phone Case,9,1,0.0535714285714285,8
195,"Bought Notebook on a whim and it is now my favourite thing I own!!! Such a spectacular Notebook, will buy again!!",Fake,5,No,Notebook,21,5,0.057471264367816,5
196,This Backpack is the single best thing I have ever purchased online!!! This Backpack is truly outstanding!!!,Fake,5,No,Backpack,17,6,0.0581395348837209,15
197,10/10 would recommend Speaker to literally every human being! SPEAKER IS PERFECT!!!!,Fake,4,No,Speaker,12,5,0.2698412698412698,2
198,"I showed my friend this Kitchen Knife and now we both love it! The Kitchen Knife is incredible, cannot recommend enough!!!!!",Fake,4,No,Kitchen Knife,21,6,0.0618556701030927,19
199,The item is okay. Functional and not overly cheap looking. Satisfied.,Genuine,5,Yes,Rice Cooker,11,0,0.0535714285714285,3
200,I cannot believe how INCREDIBLE this product is!!! Changed my life completely!!!,Fake,5,No,Speaker,12,6,0.1904761904761904,18
201,Literally life changing!!! I tell all my friends to buy this every single day!!!,Fake,5,No,Electric Toothbrush,14,6,0.0327868852459016,2
202,I've bought from this brand before and quality is consistent. Recommended. Good value.,Genuine,5,Yes,Water Bottle,13,0,0.0428571428571428,18
203,Useful and functional. Worth every rupee. Does the job.,Genuine,5,Yes,Face Wash,9,0,0.0681818181818181,19
204,Bought two for my home. Both working fine. Does the job.,Genuine,3,No,Blender,11,0,0.0697674418604651,6
205,Good build quality. Feels sturdy and well made. Happy with the purchase. Would buy again.,Genuine,5,Yes,Face Wash,15,0,0.056338028169014,19
206,Works perfectly for my needs. Fast delivery too. Recommended.,Genuine,4,Yes,Electric Kettle,9,0,0.06,8
207,I gave Wireless Mouse to my mom and she cried it was so good!!! WIRELESS MOUSE IS EXCELLENT!!!!,Fake,5,Yes,Wireless Mouse,18,7,0.380281690140845,0
208,Decent purchase. Does what it is supposed to do. Good value.,Genuine,4,Yes,Sunglasses,11,0,0.0638297872340425,7
209,I gave Portable Charger to my mom and she cried it was so good!!!,Fake,4,No,Portable Charger,14,3,0.0612244897959183,6
210,Solid product. I've recommended it to several friends. No complaints.,Genuine,5,Yes,Gaming Mouse,10,0,0.0535714285714285,17
211,Five stars every time forever!!! Will never buy another brand again!!!,Fake,5,No,Hair Dryer,11,6,0.037037037037037,7
